City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
192,sitka,US,57.0531,-135.33,68.74,66,5,4.65,clear sky,0.0,0
193,lagoa,PT,39.05,-27.9833,63.34,72,100,12.28,overcast clouds,0.0,0
194,san francisco,US,37.7749,-122.4194,73.99,86,64,13.0,broken clouds,0.0,0
195,puerto ayora,EC,-0.7393,-90.3518,71.55,89,54,8.01,broken clouds,0.0,0
196,nijar,ES,36.9665,-2.206,72.64,78,0,5.75,clear sky,0.0,0
197,talnakh,RU,69.4865,88.3972,56.21,45,0,15.52,clear sky,0.0,0
198,nikolskoye,RU,59.7035,30.7861,63.88,92,96,3.69,overcast clouds,0.0,0
199,hillsborough,US,37.5741,-122.3794,73.94,80,75,9.22,broken clouds,0.0,0
200,leningradskiy,RU,69.3833,178.4167,50.0,67,35,7.45,scattered clouds,0.0,0
201,sibu,MY,2.3,111.8167,89.51,58,90,3.15,overcast clouds,0.0,0
202,katsuura,JP,35.1333,140.3,75.97,85,100,19.75,moderate rain,3.87,0
203,jalali,IN,27.8667,78.2667,95.43,46,14,10.76,few clouds,0.0,0
204,ulaangom,MN,49.9811,92.0667,70.16,29,89,3.58,overcast clouds,0.0,0
205,nouadhibou,MR,20.931,-17.0347,68.49,84,32,20.76,scattered clouds,0.0,0
206,mount gambier,AU,-37.8333,140.7667,58.84,54,9,8.41,clear sky,0.0,0
207,bathsheba,BB,13.2167,-59.5167,81.05,89,14,15.79,few clouds,0.0,0
208,dunedin,NZ,-45.8742,170.5036,54.0,59,3,5.59,clear sky,0.0,0
209,alugan,PH,12.2188,125.4808,85.89,63,96,4.74,overcast clouds,0.0,0
210,hirara,JP,24.8,125.2833,83.82,79,45,18.16,scattered clouds,0.0,0
211,cayenne,GF,4.9333,-52.3333,80.1,1,0,2.3,clear sky,0.0,0
212,pombas,CV,17.1503,-25.0201,71.38,80,61,11.59,broken clouds,0.0,0
213,bengkulu,ID,-3.8004,102.2655,83.43,68,80,3.69,light rain,0.15,0
214,nizhnevartovsk,RU,60.9344,76.5531,60.82,67,0,11.18,clear sky,0.0,0
215,kota tinggi,MY,1.7381,103.8999,87.8,66,98,3.87,overcast clouds,0.0,0
216,zheleznodorozhnyy,RU,55.7503,38.0042,68.61,67,1,5.55,clear sky,0.0,0
217,comodoro rivadavia,AR,-45.8667,-67.5,42.66,52,0,8.05,clear sky,0.0,0
218,alnashi,RU,56.1874,52.4792,51.35,74,99,9.98,overcast clouds,0.0,0
219,tynset,NO,62.2759,10.7824,47.82,94,100,4.25,light rain,0.18,0
220,lazaro cardenas,MX,17.9583,-102.2,77.63,90,100,0.36,overcast clouds,0.0,0
221,tasiilaq,GL,65.6145,-37.6368,39.36,84,100,5.88,overcast clouds,0.0,0
222,avarua,CK,-21.2078,-159.775,73.45,88,100,3.44,light rain,0.0,0
223,buchanan,LR,5.8808,-10.0467,75.88,83,97,5.37,overcast clouds,0.0,0
224,lavrentiya,RU,65.5833,-171.0,49.71,77,95,9.37,overcast clouds,0.0,0
225,ambulu,ID,-8.345,113.6058,84.74,71,94,4.18,overcast clouds,0.0,0
226,belmonte,BR,-15.8631,-38.8828,71.6,84,9,8.3,clear sky,0.0,0
227,skala,PL,50.2305,19.8536,64.51,82,20,1.14,light rain,0.51,0
228,luena,AO,-11.7833,19.9167,48.54,70,4,3.29,clear sky,0.0,0
229,bosaso,SO,11.2842,49.1816,87.19,43,100,21.12,overcast clouds,0.0,0
230,mbeya,TZ,-8.9,33.45,48.9,92,22,5.35,few clouds,0.0,0
231,kamalapuram,IN,14.5833,78.65,85.69,59,97,18.21,overcast clouds,0.0,0
232,borba,BR,-4.3878,-59.5939,74.8,84,19,2.44,few clouds,0.0,0
233,byron bay,AU,-28.65,153.6167,52.95,95,100,5.93,light rain,0.65,0
234,alofi,NU,-19.0595,-169.9187,75.16,75,99,25.93,overcast clouds,0.0,0
235,arlit,NE,18.7369,7.3853,88.23,13,72,7.72,broken clouds,0.0,0
236,ponta do sol,PT,32.6667,-17.1,68.63,69,39,6.02,scattered clouds,0.0,0
237,camacupa,AO,-12.0167,17.4833,50.99,54,0,3.29,clear sky,0.0,0
238,kemijarvi,FI,66.7131,27.4306,64.44,62,41,5.35,scattered clouds,0.0,0
239,vanimo,PG,-2.6741,141.3028,84.18,74,73,4.18,broken clouds,0.0,0
240,talara,PE,-4.5772,-81.2719,63.9,86,64,16.89,broken clouds,0.0,0
241,vyartsilya,RU,62.1764,30.693,63.61,100,61,3.27,broken clouds,0.0,0
242,kaeo,NZ,-35.1,173.7833,61.32,96,100,12.86,light rain,0.61,0
243,luau,AO,-10.7073,22.2247,55.47,52,9,4.16,clear sky,0.0,0
244,yanliang,CN,34.6592,109.2292,89.44,41,56,2.42,broken clouds,0.0,0
245,saint-pierre,RE,-21.3393,55.4781,65.91,72,0,5.75,clear sky,0.0,0
246,manggar,ID,-2.8833,108.2667,84.52,74,95,6.4,overcast clouds,0.0,0
247,tocopilla,CL,-22.092,-70.1979,62.65,68,100,6.46,overcast clouds,0.0,0
248,kruisfontein,ZA,-34.0033,24.7314,50.83,69,11,4.32,few clouds,0.0,0
249,xinzhi,CN,36.4989,111.7047,90.1,46,0,1.74,clear sky,0.0,0
250,baltoji voke,LT,54.6,25.2,63.19,82,2,5.75,fog,0.0,0
251,batemans bay,AU,-35.7167,150.1833,55.09,63,100,12.06,overcast clouds,0.0,0
252,bor,RU,56.3567,44.0669,57.13,67,60,3.62,broken clouds,0.0,0
253,peleduy,RU,59.6289,112.7406,57.2,96,100,9.62,moderate rain,2.09,0
254,aranos,NA,-24.1333,19.1167,54.73,43,1,14.99,clear sky,0.0,0
255,georgetown,MY,5.4112,100.3354,84.13,84,40,5.01,scattered clouds,0.0,0
256,sistranda,NO,63.7256,8.834,53.56,76,100,17.83,overcast clouds,0.0,0
257,mandan,US,46.8267,-100.8896,78.78,78,40,4.61,scattered clouds,0.0,0
258,clyde river,CA,70.4692,-68.5914,34.92,87,81,8.03,broken clouds,0.0,0
259,parsabad,IR,39.6482,47.9174,70.7,43,0,2.15,clear sky,0.0,0
260,kupang,ID,-10.1667,123.5833,80.29,58,100,15.59,overcast clouds,0.0,0
261,vila franca do campo,PT,37.7167,-25.4333,67.19,78,93,5.01,overcast clouds,0.0,0
262,jamestown,US,42.097,-79.2353,74.71,75,96,4.97,overcast clouds,0.0,0
263,maceio,BR,-9.6658,-35.7353,74.64,78,20,5.75,few clouds,0.0,0
264,qaanaaq,GL,77.484,-69.3632,41.56,72,3,1.72,clear sky,0.0,0
265,cap malheureux,MU,-19.9842,57.6142,68.47,74,82,5.99,broken clouds,0.0,0
266,zhigansk,RU,66.7697,123.3711,58.75,54,97,15.28,overcast clouds,0.0,0
267,kota belud,MY,6.351,116.4305,83.61,70,99,5.14,overcast clouds,0.0,0
268,fort nelson,CA,58.8053,-122.7002,71.19,49,75,6.91,broken clouds,0.0,0
269,hambantota,LK,6.1241,81.1185,80.94,83,40,9.22,scattered clouds,0.0,0
270,sola,VU,-13.8833,167.55,80.17,81,50,20.45,light rain,0.33,0
271,mount abu,IN,24.6,72.7,75.02,71,81,0.83,broken clouds,0.0,0
272,arraial do cabo,BR,-22.9661,-42.0278,70.2,90,0,24.63,clear sky,0.0,0
273,bethel,US,41.3712,-73.414,71.96,73,0,3.44,clear sky,0.0,0
274,iqaluit,CA,63.7506,-68.5145,47.93,70,100,6.91,light rain,0.0,0
275,tabuk,PH,17.4189,121.4443,87.17,65,94,2.95,overcast clouds,0.0,0
276,yermakovskoye,RU,53.2831,92.4003,72.61,41,3,4.9,clear sky,0.0,0
277,touros,BR,-5.1989,-35.4608,73.54,93,28,12.93,moderate rain,2.3,0
278,galveston,US,29.3669,-94.9669,84.99,86,88,1.99,overcast clouds,0.0,0
279,aberdeen,GB,57.1437,-2.0981,52.48,80,33,6.91,scattered clouds,0.0,0
280,west bay,KY,19.3667,-81.4167,82.99,85,40,6.91,scattered clouds,0.0,0
281,burns lake,CA,54.2331,-125.7533,69.33,49,69,4.79,broken clouds,0.0,0
282,bairiki,KI,1.3292,172.9752,86.0,70,40,12.66,scattered clouds,0.0,0
283,mata grande,BR,-9.1175,-37.7322,63.32,97,94,7.27,overcast clouds,0.0,0
284,bubaque,GW,11.2833,-15.8333,79.75,80,83,11.61,light rain,0.98,0
285,puerto escondido,MX,15.85,-97.0667,81.1,87,100,8.81,overcast clouds,0.0,0
286,aklavik,CA,68.2191,-135.0107,70.54,64,37,8.9,moderate rain,1.42,0
287,coquimbo,CL,-29.9533,-71.3436,51.53,71,0,5.75,clear sky,0.0,0
288,rocha,UY,-34.4833,-54.3333,53.42,98,69,7.23,broken clouds,0.0,0
289,krasnoselkup,RU,65.7,82.4667,57.56,45,1,7.25,clear sky,0.0,0
290,beba,CU,22.4437,-79.7253,73.67,92,54,4.76,broken clouds,0.0,0
291,nouakchott,MR,18.0858,-15.9785,75.13,80,20,9.4,few clouds,0.0,0
292,mareeba,AU,-17.0,145.4333,62.44,96,99,1.97,overcast clouds,0.0,0
293,becerril,CO,9.7041,-73.2793,76.73,86,100,4.07,overcast clouds,0.0,0
294,asyut,EG,27.181,31.1837,83.61,29,0,5.14,clear sky,0.0,0
295,flinders,AU,-34.5833,150.8552,57.18,89,100,3.0,light rain,0.11,0
296,ballina,AU,-28.8667,153.5667,53.02,99,100,5.37,light rain,0.17,0
297,moron,AR,-34.6534,-58.6198,53.35,94,28,5.46,scattered clouds,0.0,0
298,paamiut,GL,61.994,-49.6678,42.48,91,100,7.16,overcast clouds,0.0,0
299,boa vista,BR,2.8197,-60.6733,78.78,83,40,5.75,scattered clouds,0.0,0
300,washington,US,47.5001,-120.5015,70.2,49,74,2.82,broken clouds,0.0,0
301,bonito,BR,-21.1211,-56.4819,69.64,52,81,3.71,broken clouds,0.0,0
